address,account_number,bill_date,billing_period_start,billing_period_end,fresh_water_usage,waste_water_usage,fresh_water_rate,fresh_water_fixed_charge,waste_water_rate,waste_water_fixed_charge,latest_charges
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,02-07-2018,01-01-2018,02-07-2018,101,101,2.47,31.0,1.54,65.0,511.48
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,01-01-2019,03-07-2018,01-01-2019,67,67,2.47,31.0,1.54,65.0,367.8
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,03-07-2019,02-01-2019,03-07-2019,82,82,2.47,31.0,1.54,65.0,428.15
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,02-01-2020,04-07-2019,02-01-2020,75,75,2.47,31.0,1.54,65.0,398.07
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,03-07-2020,03-01-2020,03-07-2020,126,126,2.47,31.0,1.54,65.0,603.87
"Flat 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,02-01-2021,04-07-2020,02-01-2021,135,135,2.47,31.0,1.54,65.0,640.56
"Flatt 18s, Thompson flat, East Frank, LD6 8SN",CUST0001,04-07-2021,03-01-2021,04-07-2021,121,121,2.47,31.0,1.54,65.0,582.57
"110 Darren passage, West Phillip, ZE5Y 0NN",CUST0002,02-07-2018,01-01-2018,02-07-2018,86,86,2.47,31.0,1.54,65.0,444.39
"110 Darren passage, West Phillip, ZE5Y 0NN",CUST0002,01-01-2019,03-07-2018,01-01-2019,137,137,2.47,31.0,1.54,65.0,646.53
"110 Darren passage, West Phillip, ZE5Y 0NN",CUST0002,03-07-2019,02-01-2019,03-07-2019,77,77,2.47,31.0,1.54,65.0,405.61
"1 O'Brien shores, Lake Rebeccaberg, PH2 3SE",CUST0003,02-07-2018,01-01-2018,02-07-2018,79,79,2.47,31.0,1.54,65.0,414.03
"1 O'Brien shores, Lake Rebeccaberg, PH2 3SE",CUST0003,01-01-2019,03-07-2018,01-01-2019,111,111,2.47,31.0,1.54,65.0,543.64
"1 O'Brien shores, Lake Rebeccaberg, PH2 3SE",CUST0003,03-07-2019,02-01-2019,03-07-2019,130,130,2.47,31.0,1.54,65.0,621.27
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,02-07-2018,01-01-2018,02-07-2018,105,105,2.47,31.0,1.54,65.0,520.82
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,01-01-2019,03-07-2018,01-01-2019,129,129,2.47,31.0,1.54,65.0,615.9
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,03-07-2019,02-01-2019,03-07-2019,99,99,2.47,31.0,1.54,65.0,494.07
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,02-01-2020,04-07-2019,02-01-2020,114,114,2.47,31.0,1.54,65.0,555.95
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,03-07-2020,03-01-2020,03-07-2020,134,134,2.47,31.0,1.54,65.0,637.27
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,02-01-2021,04-07-2020,02-01-2021,124,124,2.47,31.0,1.54,65.0,597.21
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,04-07-2021,03-01-2021,04-07-2021,128,128,2.47,31.0,1.54,65.0,613.17
"Flat 0, Khan falls, Jeremychester, AL3Y 0QQ",CUST0004,03-01-2022,05-07-2021,03-01-2022,118,118,2.47,31.0,1.54,65.0,572.75
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,02-07-2018,01-01-2018,02-07-2018,122,122,2.47,31.0,1.54,65.0,587.63
