address,account_number,bill_date,billing_period_start,billing_period_end,fresh_water_usage,waste_water_usage,fresh_water_rate,fresh_water_fixed_charge,waste_water_rate,waste_water_fixed_charge,latest_charges,cluster,anomaly,anomaly_flag
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,02-07-2018,01-01-2018,02-07-2018,102,102,2.47,31.0,1.54,65.0,505.02,0,1,0
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,01-01-2019,03-07-2018,01-01-2019,68,68,2.47,31.0,1.54,65.0,368.68,1,1,0
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,03-07-2019,02-01-2019,03-07-2019,83,83,2.47,31.0,1.54,65.0,428.83,1,1,0
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,02-01-2020,04-07-2019,02-01-2020,75,75,2.47,31.0,1.54,65.0,396.75,1,1,0
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,03-07-2020,03-01-2020,03-07-2020,127,127,2.47,31.0,1.54,65.0,605.27,0,1,0
"23 Cornmarket Street, Oxford, OX1 3HA",CUST0001,02-01-2021,04-07-2020,02-01-2021,136,136,2.47,31.0,1.54,65.0,641.36,0,1,0
"8 Market Square, Witney, OX28 6BB",CUST0002,02-07-2018,01-01-2018,02-07-2018,87,87,2.47,31.0,1.54,65.0,444.87,1,1,0
"8 Market Square, Witney, OX28 6BB",CUST0002,01-01-2019,03-07-2018,01-01-2019,137,137,2.47,31.0,1.54,65.0,645.37,0,1,0
"8 Market Square, Witney, OX28 6BB",CUST0002,03-07-2019,02-01-2019,03-07-2019,77,77,2.47,31.0,1.54,65.0,404.77,1,1,0
"12 Broad Street, Abingdon, OX14 3LH",CUST0003,02-07-2018,01-01-2018,02-07-2018,79,79,2.47,31.0,1.54,65.0,412.79,1,1,0
"12 Broad Street, Abingdon, OX14 3LH",CUST0003,01-01-2019,03-07-2018,01-01-2019,112,112,2.47,31.0,1.54,65.0,545.12,0,1,0
"12 Broad Street, Abingdon, OX14 3LH",CUST0003,03-07-2019,02-01-2019,03-07-2019,131,131,2.47,31.0,1.54,65.0,621.31,0,1,0
"62 High Street, Leighton Buzzard, LU7 1EA",CUST0004,02-07-2018,01-01-2018,02-07-2018,106,106,2.47,31.0,1.54,65.0,521.06,0,1,0
"62 High Street, Leighton Buzzard, LU7 1EA",CUST0004,01-01-2019,03-07-2018,01-01-2019,130,130,2.47,31.0,1.54,65.0,617.3,0,1,0
"62 High Street, Leighton Buzzard, LU7 1EA",CUST0004,03-07-2019,02-01-2019,03-07-2019,99,99,2.47,31.0,1.54,65.0,492.99,1,1,0
